seed,method,n_iter,dataset,value
11A,random,0,cifar100,0.2876333333333333
11A,random,1,cifar100,0.4108333333333333
11A,random,2,cifar100,0.4627333333333333
11A,random,3,cifar100,0.4860333333333333
11A,random,4,cifar100,0.5009
11A,random,5,cifar100,0.5147333333333334
11A,random,6,cifar100,0.5287333333333334
11A,random,7,cifar100,0.5383333333333333
11A,random,8,cifar100,0.5414666666666667
11A,random,9,cifar100,0.5502333333333334
11A,margin,0,cifar100,0.27886666666666665
11A,margin,1,cifar100,0.3945666666666667
11A,margin,2,cifar100,0.4524333333333334
11A,margin,3,cifar100,0.4778666666666666
11A,margin,4,cifar100,0.4937666666666667
11A,margin,5,cifar100,0.5059666666666667
11A,margin,6,cifar100,0.5204666666666666
11A,margin,7,cifar100,0.5284
11A,margin,8,cifar100,0.5377666666666666
11A,margin,9,cifar100,0.5479333333333334
11A,entropy,0,cifar100,0.2778333333333333
11A,entropy,1,cifar100,0.3604
11A,entropy,2,cifar100,0.4098
11A,entropy,3,cifar100,0.4429
11A,entropy,4,cifar100,0.4685333333333334
11A,entropy,5,cifar100,0.4903666666666667
11A,entropy,6,cifar100,0.5034666666666666
11A,entropy,7,cifar100,0.5112333333333333
11A,entropy,8,cifar100,0.5179666666666667
11A,entropy,9,cifar100,0.5313
11A,wkmeans,0,cifar100,0.2787
11A,wkmeans,1,cifar100,0.4075666666666667
11A,wkmeans,2,cifar100,0.4610333333333334
11A,wkmeans,3,cifar100,0.4903666666666667
11A,wkmeans,4,cifar100,0.5055
11A,wkmeans,5,cifar100,0.5117333333333334
11A,wkmeans,6,cifar100,0.5328
11A,wkmeans,7,cifar100,0.5366333333333333
11A,wkmeans,8,cifar100,0.5465
11A,wkmeans,9,cifar100,0.5556333333333333
11A,iwkmeans,0,cifar100,0.2843333333333333
11A,iwkmeans,1,cifar100,0.3982333333333333
11A,iwkmeans,2,cifar100,0.4502
11A,iwkmeans,3,cifar100,0.4778666666666666
11A,iwkmeans,4,cifar100,0.4938666666666667
11A,iwkmeans,5,cifar100,0.5116666666666667
11A,iwkmeans,6,cifar100,0.5214666666666666
11A,iwkmeans,7,cifar100,0.5314
11A,iwkmeans,8,cifar100,0.5397666666666666
11A,iwkmeans,9,cifar100,0.5458666666666666
11B,random,0,cifar100,0.2815666666666667
11B,random,1,cifar100,0.40246666666666653
11B,random,2,cifar100,0.4594666666666667
11B,random,3,cifar100,0.4856
11B,random,4,cifar100,0.5
11B,random,5,cifar100,0.5165333333333333
11B,random,6,cifar100,0.5298666666666667
11B,random,7,cifar100,0.5343
11B,random,8,cifar100,0.5438
11B,random,9,cifar100,0.5503
11B,margin,0,cifar100,0.2793333333333333
11B,margin,1,cifar100,0.4092
11B,margin,2,cifar100,0.4556666666666666
11B,margin,3,cifar100,0.4874333333333333
11B,margin,4,cifar100,0.5038
11B,margin,5,cifar100,0.5143
11B,margin,6,cifar100,0.526
11B,margin,7,cifar100,0.5372333333333333
11B,margin,8,cifar100,0.5428666666666667
11B,margin,9,cifar100,0.5521666666666667
11B,entropy,0,cifar100,0.2931666666666667
11B,entropy,1,cifar100,0.3839666666666667
11B,entropy,2,cifar100,0.4222
11B,entropy,3,cifar100,0.4526
11B,entropy,4,cifar100,0.4727333333333333
11B,entropy,5,cifar100,0.4858
11B,entropy,6,cifar100,0.5023666666666666
11B,entropy,7,cifar100,0.5157
11B,entropy,8,cifar100,0.5217
11B,entropy,9,cifar100,0.5309666666666667
11B,wkmeans,0,cifar100,0.2860666666666667
11B,wkmeans,1,cifar100,0.4213333333333333
11B,wkmeans,2,cifar100,0.4638666666666666
11B,wkmeans,3,cifar100,0.4896666666666666
