seed,method,n_iter,dataset,value
11A,random,0,cifar10_simclr,0.7351333333333333
11A,random,1,cifar10_simclr,0.8737333333333334
11A,random,2,cifar10_simclr,0.8997666666666667
11A,random,3,cifar10_simclr,0.9079999999999999
11A,random,4,cifar10_simclr,0.9122
11A,random,5,cifar10_simclr,0.9149666666666668
11A,random,6,cifar10_simclr,0.9178666666666668
11A,random,7,cifar10_simclr,0.9179333333333334
11A,random,8,cifar10_simclr,0.9190333333333334
11A,random,9,cifar10_simclr,0.9187666666666666
11A,margin,0,cifar10_simclr,0.7527666666666667
11A,margin,1,cifar10_simclr,0.8769
11A,margin,2,cifar10_simclr,0.9041333333333332
11A,margin,3,cifar10_simclr,0.9144
11A,margin,4,cifar10_simclr,0.9191333333333334
11A,margin,5,cifar10_simclr,0.9213333333333332
11A,margin,6,cifar10_simclr,0.924
11A,margin,7,cifar10_simclr,0.9256666666666666
11A,margin,8,cifar10_simclr,0.9262333333333334
11A,margin,9,cifar10_simclr,0.9265
11A,entropy,0,cifar10_simclr,0.7297333333333333
11A,entropy,1,cifar10_simclr,0.8781
11A,entropy,2,cifar10_simclr,0.9027666666666668
11A,entropy,3,cifar10_simclr,0.9116333333333332
11A,entropy,4,cifar10_simclr,0.9175
11A,entropy,5,cifar10_simclr,0.9215
11A,entropy,6,cifar10_simclr,0.9237
11A,entropy,7,cifar10_simclr,0.9253666666666668
11A,entropy,8,cifar10_simclr,0.9255333333333332
11A,entropy,9,cifar10_simclr,0.9260333333333334
11A,wkmeans,0,cifar10_simclr,0.7325333333333334
11A,wkmeans,1,cifar10_simclr,0.8791333333333333
11A,wkmeans,2,cifar10_simclr,0.9049666666666668
11A,wkmeans,3,cifar10_simclr,0.9139
11A,wkmeans,4,cifar10_simclr,0.9176
11A,wkmeans,5,cifar10_simclr,0.9210666666666668
11A,wkmeans,6,cifar10_simclr,0.9221333333333334
11A,wkmeans,7,cifar10_simclr,0.9234666666666668
11A,wkmeans,8,cifar10_simclr,0.9222333333333332
11A,wkmeans,9,cifar10_simclr,0.9242
