seed,method,n_iter,dataset,value
11A,iwkmeans,0,fashion,0.7005428571428571
11A,iwkmeans,1,fashion,0.7882
11A,iwkmeans,2,fashion,0.8082571428571429
11A,iwkmeans,3,fashion,0.8210571428571428
11A,iwkmeans,4,fashion,0.8326285714285714
11A,iwkmeans,5,fashion,0.8371142857142857
11A,iwkmeans,6,fashion,0.8398857142857142
11A,iwkmeans,7,fashion,0.8428
11A,iwkmeans,8,fashion,0.8454857142857143
11A,iwkmeans,9,fashion,0.8516285714285714
11A,iwkmeans,10,fashion,0.8533142857142857
11A,iwkmeans,11,fashion,0.8545714285714285
11A,iwkmeans,12,fashion,0.8553142857142857
11A,iwkmeans,13,fashion,0.86
11A,iwkmeans,14,fashion,0.8596
11A,iwkmeans,15,fashion,0.8621714285714286
11A,iwkmeans,16,fashion,0.8611714285714286
11A,iwkmeans,17,fashion,0.8637142857142858
11A,iwkmeans,18,fashion,0.8627142857142858
11A,iwkmeans,19,fashion,0.8580857142857143
11A,iwkmeans,20,fashion,0.8678857142857143
11A,iwkmeans,21,fashion,0.8674
11A,iwkmeans,22,fashion,0.8678
11A,iwkmeans,23,fashion,0.8685142857142857
11A,iwkmeans,24,fashion,0.871
11B,iwkmeans,0,fashion,0.7072571428571428
11B,iwkmeans,1,fashion,0.7792571428571429
11B,iwkmeans,2,fashion,0.7988285714285714
11B,iwkmeans,3,fashion,0.8150285714285714
11B,iwkmeans,4,fashion,0.8238
11B,iwkmeans,5,fashion,0.8395714285714285
11B,iwkmeans,6,fashion,0.8392571428571428
11B,iwkmeans,7,fashion,0.8442
11B,iwkmeans,8,fashion,0.8479714285714286
11B,iwkmeans,9,fashion,0.8518571428571429
11B,iwkmeans,10,fashion,0.8528571428571429
11B,iwkmeans,11,fashion,0.8551142857142857
11B,iwkmeans,12,fashion,0.8439428571428571
11B,iwkmeans,13,fashion,0.8562571428571428
11B,iwkmeans,14,fashion,0.8615142857142857
11B,iwkmeans,15,fashion,0.8629714285714286
11B,iwkmeans,16,fashion,0.8615428571428572
11B,iwkmeans,17,fashion,0.8642857142857143
11B,iwkmeans,18,fashion,0.8664571428571428
11B,iwkmeans,19,fashion,0.8621714285714286
11B,iwkmeans,20,fashion,0.8684571428571428
11B,iwkmeans,21,fashion,0.8658571428571429
11B,iwkmeans,22,fashion,0.8676285714285714
11B,iwkmeans,23,fashion,0.8670571428571429
11B,iwkmeans,24,fashion,0.8646285714285714
22A,iwkmeans,0,fashion,0.7082
22A,iwkmeans,1,fashion,0.7853142857142857
22A,iwkmeans,2,fashion,0.8064285714285714
22A,iwkmeans,3,fashion,0.8245142857142858
22A,iwkmeans,4,fashion,0.8279714285714286
22A,iwkmeans,5,fashion,0.8342857142857143
22A,iwkmeans,6,fashion,0.8388
22A,iwkmeans,7,fashion,0.8459714285714286
22A,iwkmeans,8,fashion,0.8461714285714286
22A,iwkmeans,9,fashion,0.8541428571428571
22A,iwkmeans,10,fashion,0.8511714285714286
22A,iwkmeans,11,fashion,0.8536285714285714
22A,iwkmeans,12,fashion,0.8534285714285714
22A,iwkmeans,13,fashion,0.8548857142857142
22A,iwkmeans,14,fashion,0.8597142857142858
22A,iwkmeans,15,fashion,0.8628571428571429
22A,iwkmeans,16,fashion,0.8636857142857143
22A,iwkmeans,17,fashion,0.8629714285714286
22A,iwkmeans,18,fashion,0.8649714285714286
22A,iwkmeans,19,fashion,0.8672857142857143
