seed,method,n_iter,dataset,value
11A,random,0,ldpa,0.42336527963120224
11A,random,1,ldpa,0.4716365400946258
11A,random,2,ldpa,0.5075094019167778
11A,random,3,ldpa,0.5179788911803955
11A,random,4,ldpa,0.5165716365400946
11A,random,5,ldpa,0.5214848962756278
11A,random,6,ldpa,0.5365764891423026
11A,random,7,ldpa,0.5475797646487929
11A,random,8,ldpa,0.5644061628048039
11A,random,9,ldpa,0.5704840470702414
11A,random,10,ldpa,0.5738323425937158
11A,random,11,ldpa,0.5805289336406648
11A,random,12,ldpa,0.5949168991871892
11A,random,13,ldpa,0.5930001213150552
11A,random,14,ldpa,0.6006429697925513
11A,random,15,ldpa,0.6049132597355332
11A,random,16,ldpa,0.6069392211573457
11A,random,17,ldpa,0.611985927453597
11A,random,18,ldpa,0.6131748149945409
11A,random,19,ldpa,0.6211330826155526
11A,margin,0,ldpa,0.4245662986776659
11A,margin,1,ldpa,0.436467305592624
11A,margin,2,ldpa,0.469489263617615
11A,margin,3,ldpa,0.4926361761494602
11A,margin,4,ldpa,0.5229042824214485
11A,margin,5,ldpa,0.5428120829794978
11A,margin,6,ldpa,0.5593473250030329
11A,margin,7,ldpa,0.5760038820817663
11A,margin,8,ldpa,0.5876622588863278
11A,margin,9,ldpa,0.5988111124590562
11A,margin,10,ldpa,0.6050103117796919
11A,margin,11,ldpa,0.6131505519835011
11A,margin,12,ldpa,0.6232682275870436
11A,margin,13,ldpa,0.6296251364794371
11A,margin,14,ldpa,0.6362368069877472
11A,margin,15,ldpa,0.6394273929394638
11A,margin,16,ldpa,0.6466213757127259
11A,margin,17,ldpa,0.6494965425209268
11A,margin,18,ldpa,0.6509159286667475
11A,margin,19,ldpa,0.6590197743539973
11A,uncertainty,0,ldpa,0.4162926119131384
11A,uncertainty,1,ldpa,0.41262889724614826
11A,uncertainty,2,ldpa,0.4386388450806745
11A,uncertainty,3,ldpa,0.4413684338226374
11A,uncertainty,4,ldpa,0.4510493752274658
11A,uncertainty,5,ldpa,0.4637995875288123
11A,uncertainty,6,ldpa,0.4749727041125804
11A,uncertainty,7,ldpa,0.4699623923328885
11A,uncertainty,8,ldpa,0.4858667960693922
11A,uncertainty,9,ldpa,0.4897974038578188
11A,uncertainty,10,ldpa,0.5058231226495208
11A,uncertainty,11,ldpa,0.4808686157952202
11A,uncertainty,12,ldpa,0.5273201504306685
11A,uncertainty,13,ldpa,0.5162562173965789
11A,uncertainty,14,ldpa,0.5222370496178576
11A,uncertainty,15,ldpa,0.5208783209996359
11A,uncertainty,16,ldpa,0.5501759068300376
11A,uncertainty,17,ldpa,0.5387722916413927
11A,uncertainty,18,ldpa,0.5380322698046828
11A,uncertainty,19,ldpa,0.5474705810991144
11A,entropy,0,ldpa,0.4235593837195196
11A,entropy,1,ldpa,0.4285575639936916
11A,entropy,2,ldpa,0.4304136843382264
11A,entropy,3,ldpa,0.426179788911804
11A,entropy,4,ldpa,0.4656435763678273
11A,entropy,5,ldpa,0.4684095596263496
11A,entropy,6,ldpa,0.4722552468761374
11A,entropy,7,ldpa,0.4720490112823002
11A,entropy,8,ldpa,0.4741841562537911
11A,entropy,9,ldpa,0.4700109183549678
11A,entropy,10,ldpa,0.491835496785151
11A,entropy,11,ldpa,0.488535727283756
11A,entropy,12,ldpa,0.4812810869828946
11A,entropy,13,ldpa,0.4831978648550285
11A,entropy,14,ldpa,0.4858546645638724
11A,entropy,15,ldpa,0.5010797039912653
11A,entropy,16,ldpa,0.5050588378017712
11A,entropy,17,ldpa,0.4986534028872983
11A,entropy,18,ldpa,0.505956569210239
11A,entropy,19,ldpa,0.5003518136600752
11A,wkmeans,0,ldpa,0.4208904525051559
11A,wkmeans,1,ldpa,0.4769380080067937
11A,wkmeans,2,ldpa,0.5238505398519956
11A,wkmeans,3,ldpa,0.5507096930729104
11A,wkmeans,4,ldpa,0.5660681790610215
11A,wkmeans,5,ldpa,0.5741113672206721
11A,wkmeans,6,ldpa,0.5859274535969914
11A,wkmeans,7,ldpa,0.6051316268348902
11A,wkmeans,8,ldpa,0.6115249302438432
11A,wkmeans,9,ldpa,0.6217639209025839
11A,wkmeans,10,ldpa,0.6302074487443892
11A,wkmeans,11,ldpa,0.6275021230134661
11A,wkmeans,12,ldpa,0.6359699138663109
11A,wkmeans,13,ldpa,0.6418415625379109
11A,wkmeans,14,ldpa,0.6445226252577945
11A,wkmeans,15,ldpa,0.6573213635812204
11A,wkmeans,16,ldpa,0.6638117190343321
11A,wkmeans,17,ldpa,0.6624529904161106
11A,wkmeans,18,ldpa,0.6615431275021229
11A,wkmeans,19,ldpa,0.6709814387965547
11B,random,0,ldpa,0.4168506611670508
11B,random,1,ldpa,0.480589591168264
11B,random,2,ldpa,0.4896032997695014
11B,random,3,ldpa,0.5035423996117918
11B,random,4,ldpa,0.5320150430668446
11B,random,5,ldpa,0.5440737595535606
11B,random,6,ldpa,0.5607667111488536
11B,random,7,ldpa,0.5680698774717943
11B,random,8,ldpa,0.5793885721218003
11B,random,9,ldpa,0.5827247361397551
11B,random,10,ldpa,0.5879170205022444
11B,random,11,ldpa,0.5989930850418537
11B,random,12,ldpa,0.6000121315055198
11B,random,13,ldpa,0.6036879776780298
11B,random,14,ldpa,0.6071090622346234
11B,random,15,ldpa,0.6076549799830159
11B,random,16,ldpa,0.6046221036030571
11B,random,17,ldpa,0.6130656314448623
11B,random,18,ldpa,0.6144122285575639
11B,random,19,ldpa,0.6157952201868252
11B,margin,0,ldpa,0.4223462331675361
11B,margin,1,ldpa,0.4452990416110639
11B,margin,2,ldpa,0.4735897124833192
11B,margin,3,ldpa,0.5046221036030571
