seed,method,n_iter,dataset,value
11A,iwkmeans,0,mnist,0.7545428571428572
11A,iwkmeans,1,mnist,0.8662285714285715
11A,iwkmeans,2,mnist,0.9042285714285714
11A,iwkmeans,3,mnist,0.9193428571428572
11A,iwkmeans,4,mnist,0.9264857142857142
11A,iwkmeans,5,mnist,0.9359999999999999
11A,iwkmeans,6,mnist,0.9408285714285716
11A,iwkmeans,7,mnist,0.9438285714285716
11A,iwkmeans,8,mnist,0.9482285714285714
11A,iwkmeans,9,mnist,0.9508857142857144
11A,iwkmeans,10,mnist,0.9542285714285714
11A,iwkmeans,11,mnist,0.9546857142857142
11A,iwkmeans,12,mnist,0.9591142857142856
11A,iwkmeans,13,mnist,0.9593428571428572
11A,iwkmeans,14,mnist,0.9621428571428572
11A,iwkmeans,15,mnist,0.961
11A,iwkmeans,16,mnist,0.9620857142857144
11A,iwkmeans,17,mnist,0.9632285714285714
11A,iwkmeans,18,mnist,0.9642285714285714
11A,iwkmeans,19,mnist,0.9662571428571428
11A,iwkmeans,20,mnist,0.9678571428571427
11A,iwkmeans,21,mnist,0.9688571428571428
11A,iwkmeans,22,mnist,0.9676
11A,iwkmeans,23,mnist,0.9677714285714286
11A,iwkmeans,24,mnist,0.9688857142857142
11B,iwkmeans,0,mnist,0.7663428571428571
11B,iwkmeans,1,mnist,0.8628857142857143
11B,iwkmeans,2,mnist,0.8998857142857143
11B,iwkmeans,3,mnist,0.9166857142857144
11B,iwkmeans,4,mnist,0.9302
11B,iwkmeans,5,mnist,0.9359142857142856
11B,iwkmeans,6,mnist,0.9404571428571428
11B,iwkmeans,7,mnist,0.9480285714285714
11B,iwkmeans,8,mnist,0.9517142857142856
11B,iwkmeans,9,mnist,0.9501142857142856
11B,iwkmeans,10,mnist,0.9570285714285716
11B,iwkmeans,11,mnist,0.9582285714285714
11B,iwkmeans,12,mnist,0.9585714285714284
11B,iwkmeans,13,mnist,0.9599428571428572
11B,iwkmeans,14,mnist,0.9632571428571428
11B,iwkmeans,15,mnist,0.9652571428571428
11B,iwkmeans,16,mnist,0.9634857142857144
11B,iwkmeans,17,mnist,0.9652571428571428
11B,iwkmeans,18,mnist,0.9660571428571428
11B,iwkmeans,19,mnist,0.9671142857142856
11B,iwkmeans,20,mnist,0.9687142857142856
11B,iwkmeans,21,mnist,0.9692857142857144
11B,iwkmeans,22,mnist,0.9691428571428572
11B,iwkmeans,23,mnist,0.9698857142857142
11B,iwkmeans,24,mnist,0.9707428571428572
22A,iwkmeans,0,mnist,0.7490000000000001
22A,iwkmeans,1,mnist,0.8623428571428572
22A,iwkmeans,2,mnist,0.8945714285714286
22A,iwkmeans,3,mnist,0.9154571428571427
22A,iwkmeans,4,mnist,0.9288
22A,iwkmeans,5,mnist,0.9343142857142858
22A,iwkmeans,6,mnist,0.9402285714285714
22A,iwkmeans,7,mnist,0.9448571428571428
22A,iwkmeans,8,mnist,0.9456857142857142
22A,iwkmeans,9,mnist,0.9517142857142856
22A,iwkmeans,10,mnist,0.9527714285714286
22A,iwkmeans,11,mnist,0.9546
22A,iwkmeans,12,mnist,0.9571428571428572
22A,iwkmeans,13,mnist,0.9597714285714286
22A,iwkmeans,14,mnist,0.9601142857142856
22A,iwkmeans,15,mnist,0.963
22A,iwkmeans,16,mnist,0.9644857142857144
22A,iwkmeans,17,mnist,0.9636285714285714
22A,iwkmeans,18,mnist,0.9658
22A,iwkmeans,19,mnist,0.9670571428571428
22A,iwkmeans,20,mnist,0.9691714285714286
22A,iwkmeans,21,mnist,0.9687428571428572
22A,iwkmeans,22,mnist,0.9683714285714284
22A,iwkmeans,23,mnist,0.9690571428571428
22A,iwkmeans,24,mnist,0.9692857142857144
22B,iwkmeans,0,mnist,0.7767714285714286
22B,iwkmeans,1,mnist,0.8693428571428572
22B,iwkmeans,2,mnist,0.9005428571428571
22B,iwkmeans,3,mnist,0.9162
22B,iwkmeans,4,mnist,0.9309142857142856
22B,iwkmeans,5,mnist,0.9386
22B,iwkmeans,6,mnist,0.9414571428571428
22B,iwkmeans,7,mnist,0.9453428571428572
22B,iwkmeans,8,mnist,0.9484857142857144
22B,iwkmeans,9,mnist,0.9519428571428572
22B,iwkmeans,10,mnist,0.9559714285714286
22B,iwkmeans,11,mnist,0.9542
22B,iwkmeans,12,mnist,0.9582571428571428
22B,iwkmeans,13,mnist,0.9612857142857144
22B,iwkmeans,14,mnist,0.9609714285714286
22B,iwkmeans,15,mnist,0.9627714285714286
22B,iwkmeans,16,mnist,0.9648571428571427
22B,iwkmeans,17,mnist,0.9648857142857142
22B,iwkmeans,18,mnist,0.9669428571428572
22B,iwkmeans,19,mnist,0.9671714285714286
22B,iwkmeans,20,mnist,0.9668285714285716
22B,iwkmeans,21,mnist,0.9694571428571428
22B,iwkmeans,22,mnist,0.9701428571428572
22B,iwkmeans,23,mnist,0.9696857142857144
22B,iwkmeans,24,mnist,0.9695142857142856
33A,iwkmeans,0,mnist,0.7558571428571429
33A,iwkmeans,1,mnist,0.8694857142857143
33A,iwkmeans,2,mnist,0.8924571428571428
33A,iwkmeans,3,mnist,0.9104571428571429
33A,iwkmeans,4,mnist,0.9248571428571428
33A,iwkmeans,5,mnist,0.9347428571428572
33A,iwkmeans,6,mnist,0.9402571428571428
33A,iwkmeans,7,mnist,0.9431714285714284
33A,iwkmeans,8,mnist,0.9485714285714286
33A,iwkmeans,9,mnist,0.9516857142857142
33A,iwkmeans,10,mnist,0.9544571428571428
33A,iwkmeans,11,mnist,0.9558857142857144
33A,iwkmeans,12,mnist,0.9571714285714286
33A,iwkmeans,13,mnist,0.9604857142857144
33A,iwkmeans,14,mnist,0.9599428571428572
33A,iwkmeans,15,mnist,0.9612857142857144
33A,iwkmeans,16,mnist,0.9633428571428572
33A,iwkmeans,17,mnist,0.9639428571428572
33A,iwkmeans,18,mnist,0.9665428571428571
33A,iwkmeans,19,mnist,0.9662857142857144
33A,iwkmeans,20,mnist,0.9665714285714284
33A,iwkmeans,21,mnist,0.9684
33A,iwkmeans,22,mnist,0.9690000000000001
33A,iwkmeans,23,mnist,0.9698
33A,iwkmeans,24,mnist,0.9685714285714284
33B,iwkmeans,0,mnist,0.7742571428571429
33B,iwkmeans,1,mnist,0.8679142857142857
33B,iwkmeans,2,mnist,0.9009714285714284
33B,iwkmeans,3,mnist,0.9197714285714286
