seed,method,n_iter,dataset,value
11A,random,0,noisy_hd,0.2826826826826827
11A,random,1,noisy_hd,0.3207207207207207
11A,random,2,noisy_hd,0.3137137137137137
11A,random,3,noisy_hd,0.38738738738738737
11A,random,4,noisy_hd,0.394994994994995
11A,random,5,noisy_hd,0.4338338338338337
11A,random,6,noisy_hd,0.4376376376376376
11A,random,7,noisy_hd,0.4680680680680681
11A,random,8,noisy_hd,0.4840840840840841
11A,random,9,noisy_hd,0.5123123123123123
11A,random,10,noisy_hd,0.5517517517517517
11A,random,11,noisy_hd,0.5633633633633633
11A,random,12,noisy_hd,0.5993993993993993
11A,random,13,noisy_hd,0.6220220220220221
11A,random,14,noisy_hd,0.612012012012012
11A,random,15,noisy_hd,0.6574574574574574
11A,random,16,noisy_hd,0.6654654654654655
11A,random,17,noisy_hd,0.6616616616616616
11A,random,18,noisy_hd,0.6874874874874874
11A,random,19,noisy_hd,0.69009009009009
11A,wkmeans,0,noisy_hd,0.2782782782782783
11A,wkmeans,1,noisy_hd,0.3133133133133133
11A,wkmeans,2,noisy_hd,0.3921921921921922
11A,wkmeans,3,noisy_hd,0.4366366366366367
11A,wkmeans,4,noisy_hd,0.4678678678678679
11A,wkmeans,5,noisy_hd,0.54994994994995
11A,wkmeans,6,noisy_hd,0.5787787787787788
11A,wkmeans,7,noisy_hd,0.5887887887887888
11A,wkmeans,8,noisy_hd,0.6420420420420421
11A,wkmeans,9,noisy_hd,0.6692692692692692
11A,wkmeans,10,noisy_hd,0.6770770770770771
11A,wkmeans,11,noisy_hd,0.7141141141141141
11A,wkmeans,12,noisy_hd,0.7145145145145145
11A,wkmeans,13,noisy_hd,0.7261261261261261
11A,wkmeans,14,noisy_hd,0.7257257257257257
11A,wkmeans,15,noisy_hd,0.7597597597597597
11A,wkmeans,16,noisy_hd,0.7673673673673673
11A,wkmeans,17,noisy_hd,0.7725725725725726
11A,wkmeans,18,noisy_hd,0.7851851851851852
11A,wkmeans,19,noisy_hd,0.7929929929929929
11A,iwkmeans,0,noisy_hd,0.2814814814814815
11A,iwkmeans,1,noisy_hd,0.2912912912912913
11A,iwkmeans,2,noisy_hd,0.3813813813813814
11A,iwkmeans,3,noisy_hd,0.41701701701701693
11A,iwkmeans,4,noisy_hd,0.493093093093093
11A,iwkmeans,5,noisy_hd,0.5815815815815816
11A,iwkmeans,6,noisy_hd,0.6272272272272272
11A,iwkmeans,7,noisy_hd,0.6558558558558558
11A,iwkmeans,8,noisy_hd,0.679079079079079
11A,iwkmeans,9,noisy_hd,0.6844844844844845
