seed,method,n_iter,dataset,value
11A,random,0,noisy_ld,0.185
11A,random,1,noisy_ld,0.2306
11A,random,2,noisy_ld,0.2352
11A,random,3,noisy_ld,0.2642
11A,random,4,noisy_ld,0.2948
11A,random,5,noisy_ld,0.3322
11A,random,6,noisy_ld,0.3334
11A,random,7,noisy_ld,0.34700000000000003
11A,random,8,noisy_ld,0.3656
11A,random,9,noisy_ld,0.3916
11A,random,10,noisy_ld,0.41
11A,random,11,noisy_ld,0.42100000000000004
11A,random,12,noisy_ld,0.4278
11A,random,13,noisy_ld,0.4302
11A,random,14,noisy_ld,0.4502
11A,random,15,noisy_ld,0.4558
11A,random,16,noisy_ld,0.4536
11A,random,17,noisy_ld,0.4652
11A,random,18,noisy_ld,0.4992
11A,random,19,noisy_ld,0.5008
11A,margin,0,noisy_ld,0.1902
11A,margin,1,noisy_ld,0.1946
11A,margin,2,noisy_ld,0.2044
11A,margin,3,noisy_ld,0.2164
11A,margin,4,noisy_ld,0.21100000000000002
11A,margin,5,noisy_ld,0.2388
11A,margin,6,noisy_ld,0.2532
11A,margin,7,noisy_ld,0.2524
11A,margin,8,noisy_ld,0.2838
11A,margin,9,noisy_ld,0.3056
11A,margin,10,noisy_ld,0.3058
11A,margin,11,noisy_ld,0.3156
11A,margin,12,noisy_ld,0.3212
11A,margin,13,noisy_ld,0.3256
11A,margin,14,noisy_ld,0.3398
11A,margin,15,noisy_ld,0.3488
11A,margin,16,noisy_ld,0.3718
11A,margin,17,noisy_ld,0.379
11A,margin,18,noisy_ld,0.3864
11A,margin,19,noisy_ld,0.4166
11A,uncertainty,0,noisy_ld,0.1982
11A,uncertainty,1,noisy_ld,0.1752
11A,uncertainty,2,noisy_ld,0.2032
11A,uncertainty,3,noisy_ld,0.2168
11A,uncertainty,4,noisy_ld,0.22899999999999998
11A,uncertainty,5,noisy_ld,0.22399999999999998
11A,uncertainty,6,noisy_ld,0.2418
11A,uncertainty,7,noisy_ld,0.2432
11A,uncertainty,8,noisy_ld,0.2684
11A,uncertainty,9,noisy_ld,0.2614
11A,uncertainty,10,noisy_ld,0.2776
11A,uncertainty,11,noisy_ld,0.2898
11A,uncertainty,12,noisy_ld,0.3114
